time;DBD;HPG;VNM;ACB;;;;;;;;;;;;;
08/03/2023;-0,000996347;0,005006258;0,009120931;0,020891365;;;;;;;;;;;;;
09/03/2023;-0,010970745;0;0;0,013642565;;;;;;;;;;;;;
10/03/2023;-0,003697479;0,00498132;0,005298426;-0,017496635;;;;;;;;;;;;;
13/03/2023;0,009784076;-0,009913259;0;-0,016438356;;;;;;;;;;;;;
14/03/2023;-0,011025727;-0,037546934;-0,003875368;-0,01810585;;;;;;;;;;;;;
15/03/2023;0;0,049414824;0,006535948;0,031205674;;;;;;;;;;;;;
16/03/2023;0;-0,021685254;-0,009121831;-0,01650619;;;;;;;;;;;;;
17/03/2023;0,002364865;-0,021532616;-0,024808863;-0,002097902;;;;;;;;;;;;;
20/03/2023;-0,004718571;-0,019417476;-0,00272;-0,014015417;;;;;;;;;;;;;
21/03/2023;-0,011175076;0,022442244;0,001283491;0,008528785;;;;;;;;;;;;;
22/03/2023;0,011986301;-0,007101356;0;-0,002114165;;;;;;;;;;;;;
23/03/2023;0;0,004551365;0,012177536;0,014124294;;;;;;;;;;;;;
24/03/2023;0,002368866;0;-0,003957575;0,002089136;;;;;;;;;;;;;
27/03/2023;-0,002363268;0,020064725;-0,005403687;-0,004169562;;;;;;;;;;;;;
28/03/2023;0,001015228;-0,005076142;-0,002716523;0;;;;;;;;;;;;;
29/03/2023;0;0,005102041;0,006729691;-0,00209351;;;;;;;;;;;;;
30/03/2023;-0,002366464;0;0,001432437;0,008391608;;;;;;;;;;;;;
31/03/2023;0,001355473;0;-0,008105531;0,016643551;;;;;;;;;;;;;
03/04/2023;0,01285956;0,009517766;0;0,009549795;;;;;;;;;;;;;
04/04/2023;0,005345807;0,004399749;-0,002563692;-0,004054054;;;;;;;;;;;;;
05/04/2023;0,004985045;0,019399249;0,004016064;0,006105834;;;;;;;;;;;;;
06/04/2023;-0,002645503;0;-0,00272;-0,015509103;;;;;;;;;;;;;
07/04/2023;-0,004973475;-0,014119091;0,005294401;0,006164384;;;;;;;;;;;;;
10/04/2023;0,01032989;-0,02366127;-0,003989786;-0,002042206;;;;;;;;;;;;;
11/04/2023;-0,002638522;0,005102041;0;-0,002046385;;;;;;;;;;;;;
12/04/2023;0,004960317;-0,002538071;-0,001281846;-0,004101162;;;;;;;;;;;;;
13/04/2023;0,027969727;-0,014631043;-0,010749238;0,004118051;;;;;;;;;;;;;
14/04/2023;0,009923175;0,009683667;-0,009568602;0;;;;;;;;;;;;;
17/04/2023;-0,002535658;0,009590793;-0,01506468;0,002050581;;;;;;;;;;;;;
18/04/2023;-0,002224341;0,005066498;0,018121363;-0,010231924;;;;;;;;;;;;;
19/04/2023;-0,002547771;-0,006931317;-0,013716525;-0,014472777;;;;;;;;;;;;;
20/04/2023;0,002554278;0;-0,001324503;-0,005594406;;;;;;;;;;;;;
21/04/2023;0,019426752;-0,005076142;-0,013925729;0;;;;;;;;;;;;;
24/04/2023;0,042174321;-0,00255102;-0,005716207;-0,002109705;;;;;;;;;;;;;
25/04/2023;-0,005695444;0,019820972;-0,008454515;-0,002114165;;;;;;;;;;;;;
26/04/2023;0;0,045141066;0,01568895;0;;;;;;;;;;;;;
27/04/2023;0,002411818;-0,013797241;-0,021155138;0;;;;;;;;;;;;;
28/04/2023;0,002406015;-0,00243309;0,007204117;0,002118644;;;;;;;;;;;;;
04/05/2023;0,062406241;-0,015853659;-0,019925068;0,020436927;;;;;;;;;;;;;
05/05/2023;-0,030499859;0,006815366;0,002953953;-0,002071823;;;;;;;;;;;;;
08/05/2023;0,007864841;0,006769231;0,023215523;0,012456747;;;;;;;;;;;;;
09/05/2023;-0,021098266;0,009168704;0,004232983;-0,002050581;;;;;;;;;;;;;
10/05/2023;0,002066726;-0,004239855;-0,002866296;0;;;;;;;;;;;;;
11/05/2023;0,004714202;0,00243309;-0,007101792;0;;;;;;;;;;;;;
12/05/2023;-0,006744868;0,027305825;-0,005619891;0,004109589;;;;;;;;;;;;;
