"","mean","StdDev","out","w.VNM","w.DBD","w.HPG","w.ACB"
"result.92",0.00052468445744448,0.0102166207092769,0.000104379338717226,0.350016656535476,0.38268645994206,0.0337437268204663,0.233553156701998
"result.93",0.000524998977352394,0.0102170834021464,0.000104388793246415,0.34951876354196,0.382840736941913,0.0337730489641363,0.23386745055199
"result.94",0.000525313497260309,0.0102175511304712,0.000104398351103792,0.349020870548445,0.382995013941766,0.0338023711078064,0.234181744401983
"result.95",0.000525628017168223,0.0102180238935597,0.000104408012289358,0.348522977554929,0.38314929094162,0.0338316932514764,0.234496038251975
"result.96",0.000525942537076137,0.0102185016907133,0.000104417776803111,0.348025084561413,0.383303567941473,0.0338610153951465,0.234810332101967
"result.97",0.000526257056984051,0.0102189845212258,0.000104427644645051,0.347527191567898,0.383457844941326,0.0338903375388165,0.23512462595196
"result.98",0.000526571576891965,0.0102194723843837,0.00010443761581518,0.347029298574382,0.38361212194118,0.0339196596824866,0.235438919801952
"result.99",0.00052688609679988,0.0102199652794663,0.000104447690313497,0.346531405580866,0.383766398941033,0.0339489818261566,0.235753213651944
"result.100",0.000527200616707794,0.0102204632057457,0.000104457868140001,0.346033512587351,0.383920675940886,0.0339783039698267,0.236067507501937
"result.101",0.000527515136615708,0.0102209661624865,0.000104468149294694,0.345535619593835,0.384074952940739,0.0340076261134967,0.236381801351929
"result.102",0.000527829656523622,0.0102214741489461,0.000104478533777574,0.345037726600319,0.384229229940593,0.0340369482571668,0.236696095201921
"result.103",0.000528144176431537,0.0102219871643748,0.000104489021588642,0.344539833606804,0.384383506940446,0.0340662704008368,0.237010389051913
"result.104",0.000528458696339451,0.0102225052080152,0.000104499612727898,0.344041940613288,0.384537783940299,0.0340955925445069,0.237324682901906
"result.105",0.000528773216247365,0.0102230282791031,0.000104510307195342,0.343544047619772,0.384692060940153,0.0341249146881769,0.237638976751898
"result.106",0.000529087736155279,0.0102235563768668,0.000104521104990974,0.343046154626257,0.384846337940006,0.034154236831847,0.23795327060189
"result.107",0.000529402256063194,0.0102240895005273,0.000104532006114793,0.342548261632741,0.385000614939859,0.034183558975517,0.238267564451883
