time,rf,rm,,,,,,,,
19/12/2023,9.31874E-05,0.004048064,,,,,,,,
20/12/2023,9.2412E-05,0.004068229,,,,,,,,
21/12/2023,9.2063E-05,0.001517134,,,,,,,,
22/12/2023,9.25283E-05,0.000571465,,,,,,,,
25/12/2023,9.24895E-05,0.013235907,,,,,,,,
26/12/2023,9.25283E-05,0.004106795,,,,,,,,
27/12/2023,9.25671E-05,-0.000231677,,,,,,,,
28/12/2023,9.2916E-05,0.006185438,,,,,,,,
29/12/2023,9.38463E-05,0.000885795,,,,,,,,
02/01/2024,9.39626E-05,0.001584169,,,,,,,,
03/01/2024,9.52027E-05,0.011000954,,,,,,,,
04/01/2024,9.35362E-05,0.005724674,,,,,,,,
05/01/2024,9.2916E-05,0.003441324,,,,,,,,
08/01/2024,9.05893E-05,0.004771885,,,,,,,,
09/01/2024,9.05505E-05,-0.001379084,,,,,,,,
10/01/2024,9.09771E-05,0.002546198,,,,,,,,
11/01/2024,9.10547E-05,0.00058543,,,,,,,,
12/01/2024,9.13262E-05,-0.006470376,,,,,,,,
15/01/2024,9.11323E-05,-0.000502295,,,,,,,,
16/01/2024,9.10547E-05,0.007798149,,,,,,,,
17/01/2024,9.24895E-05,-0.000507256,,,,,,,,
18/01/2024,9.22181E-05,0.005617059,,,,,,,,
19/01/2024,9.31874E-05,0.010641028,,,,,,,,
22/01/2024,9.24895E-05,0.001151079,,,,,,,,
23/01/2024,9.07444E-05,-0.00453139,,,,,,,,
24/01/2024,9.01237E-05,-0.003847134,,,,,,,,
25/01/2024,9.2916E-05,-0.002216595,,,,,,,,
26/01/2024,9.41564E-05,0.004528482,,,,,,,,
29/01/2024,9.33037E-05,1.70116E-05,,,,,,,,
30/01/2024,9.40014E-05,0.003368235,,,,,,,,
31/01/2024,9.49702E-05,-0.013003857,,,,,,,,
01/02/2024,9.46214E-05,0.007480826,,,,,,,,
02/02/2024,9.43114E-05,-0.000400675,,,,,,,,
05/02/2024,9.55901E-05,0.011521897,,,,,,,,
06/02/2024,9.49702E-05,0.002040369,,,,,,,,
07/02/2024,9.43114E-05,0.008456179,,,,,,,,
15/02/2024,9.40401E-05,0.003312391,,,,,,,,
16/02/2024,9.342E-05,0.005987526,,,,,,,,
19/02/2024,9.38463E-05,0.012622964,,,,,,,,
20/02/2024,9.41951E-05,0.004155204,,,,,,,,
21/02/2024,9.35362E-05,-1.62594E-05,,,,,,,,
22/02/2024,9.45052E-05,-0.00221944,,,,,,,,
23/02/2024,9.51639E-05,-0.012474436,,,,,,,,
26/02/2024,9.65198E-05,0.010041254,,,,,,,,
27/02/2024,9.50477E-05,0.010856335,,,,,,,,
28/02/2024,9.32649E-05,0.013810547,,,,,,,,
29/02/2024,9.65198E-05,-0.001450719,,,,,,,,
01/03/2024,9.43502E-05,0.004430324,,,,,,,,
04/03/2024,9.43502E-05,0.002487523,,,,,,,,
05/03/2024,9.42339E-05,0.006793985,,,,,,,,
06/03/2024,9.51639E-05,-0.005708751,,,,,,,,
07/03/2024,9.77978E-05,0.004537787,,,,,,,,
08/03/2024,0.00010248,-0.016642228,,,,,,,,
11/03/2024,0.00010132,-0.009508157,,,,,,,,
12/03/2024,0.000102209,0.007697351,,,,,,,,
13/03/2024,0.000102596,0.02048996,,,,,,,,
14/03/2024,0.000102132,-0.004919284,,,,,,,,
15/03/2024,0.000102751,-0.000379669,,,,,,,,
18/03/2024,0.000103022,-0.01599962,,,,,,,,
19/03/2024,0.000102712,-0.000884557,,,,,,,,
20/03/2024,0.000103447,0.014181543,,,,,,,,
21/03/2024,0.000102596,0.012967431,,,,,,,,
22/03/2024,0.000103254,0.004214914,,,,,,,,
25/03/2024,0.000104104,-0.010875332,,,,,,,,
26/03/2024,0.000104297,0.011318284,,,,,,,,
27/03/2024,0.000105071,0.000686315,,,,,,,,
28/03/2024,0.000104877,0.005525723,,,,,,,,
29/03/2024,0.000107543,-0.004720272,,,,,,,,
01/04/2024,0.00010793,-0.002001417,,,,,,,,
02/04/2024,0.000112639,0.004307385,,,,,,,,
03/04/2024,0.000114027,-0.012097526,,,,,,,,
04/04/2024,0.000114297,-0.002532502,,,,,,,,
05/04/2024,0.000112793,-0.010360733,,,,,,,,
08/04/2024,0.00011233,-0.003792496,,,,,,,,
09/04/2024,0.000109937,0.009973208,,,,,,,,
10/04/2024,0.000109937,-0.003373402,,,,,,,,
11/04/2024,0.000110787,-0.000286041,,,,,,,,
12/04/2024,0.000111944,0.014624066,,,,,,,,
15/04/2024,0.000113217,-0.04699201,,,,,,,,
16/04/2024,0.000114991,-0.000764419,,,,,,,,
17/04/2024,0.000114336,-0.018647999,,,,,,,,
19/04/2024,0.000114297,-0.015222001,,,,,,,,
22/04/2024,0.00011449,0.013082521,,,,,,,,
23/04/2024,0.000113834,-0.010771118,,,,,,,,
24/04/2024,0.000114259,0.023959572,,,,,,,,
25/04/2024,0.000113564,-0.000530852,,,,,,,,
26/04/2024,0.000113449,0.003776028,,,,,,,,
02/05/2024,0.000114451,0.005655136,,,,,,,,
03/05/2024,0.000114374,0.003839324,,,,,,,,
06/05/2024,0.000112716,0.016830053,,,,,,,,
07/05/2024,0.000112484,0.005678249,,,,,,,,
08/05/2024,0.000112832,0.001465606,,,,,,,,
09/05/2024,0.000112484,-0.001455464,,,,,,,,
10/05/2024,0.000111983,-0.003155433,,,,,,,,
13/05/2024,0.0001126,-0.003631397,,,,,,,,
14/05/2024,0.000112562,0.002499637,,,,,,,,
15/05/2024,0.0001126,0.00893604,,,,,,,,
16/05/2024,0.000112099,0.011471711,,,,,,,,
17/05/2024,0.00011179,0.003412727,,,,,,,,
20/05/2024,0.000112214,0.003511087,,,,,,,,
21/05/2024,0.000111597,-0.000344401,,,,,,,,
22/05/2024,0.000115724,-0.008010085,,,,,,,,
23/05/2024,0.000118344,0.011145227,,,,,,,,
24/05/2024,0.000118652,-0.014909877,,,,,,,,
27/05/2024,0.000117843,0.004556513,,,,,,,,
28/05/2024,0.000116841,0.011083239,,,,,,,,
29/05/2024,0.000115569,-0.007091977,,,,,,,,
